iter	Passed	Remaining
647	597221	324416
648	599938	324465
649	601576	323925
650	603051	323294
651	605138	322987
652	607554	322850
653	608543	321951
654	609964	321278
655	611911	320880
656	613594	320339
657	614959	319629
658	616845	319186
659	619127	318944
660	620479	318218
661	623142	318160
662	624395	317377
663	626703	317126
664	628268	316496
665	630459	316176
666	632362	315707
667	634038	315121
668	635649	314499
669	637616	314050
670	639247	313431
671	641629	313176
672	643786	312805
673	645214	312077
674	647809	311908
675	649115	311114
676	651040	310614
677	652459	309870
678	654988	309648
679	657372	309351
680	658759	308582
681	661260	308329
682	662483	307477
683	664234	306868
684	665813	306177
685	667430	305500
686	669755	305143
687	671151	304359
688	672774	303676
689	674858	303197
690	675894	302245
691	677284	301450
692	679318	300939
693	681291	300396
694	683361	299892
695	685368	299356
696	686868	298595
697	688778	298010
698	690234	297225
699	692559	296811
700	694646	296289
701	695819	295376
702	697470	294664
703	699499	294107
704	700865	293269
705	702729	292638
706	704461	291947
707	706836	291520
708	709036	291015
709	710323	290132
710	712722	289700
711	713864	288754
712	716014	288213
713	717545	287420
714	719367	286740
715	720774	285893
716	722134	285026
717	723493	284157
718	724464	283135
719	725572	282167
720	728163	281771
721	729766	280990
722	731235	280155
723	733409	279586
724	735081	278823
725	737008	278154
726	738545	277335
727	740801	276782
728	742342	275959
729	744458	275347
730	745675	274400
731	747266	273589
732	749948	273173
733	751412	272310
734	753048	271507
735	755803	271103
736	757379	270272
737	759509	269636
738	761626	268991
739	762894	268043
740	764780	267312
741	765963	266332
742	767934	265624
743	769241	264685
744	770796	263829
745	772876	263150
746	774445	262295
747	776825	261711
748	778538	260898
749	780812	260270
750	782351	259394
751	784898	258849
752	786870	258110
753	789180	257477
754	791144	256728
755	793512	256107
756	794855	255151
757	796628	254332
758	798726	253613
759	800879	252909
760	802429	252011
761	805279	251517
762	806921	250642
763	810398	250332
